#infected,recovered,dead,cumulative,date
     503,       28,       17,      548, 01/22/20
     595,       30,       18,      643, 01/23/20
     858,       36,       26,      920, 01/24/20
    1325,       39,       42,     1406, 01/25/20
    1970,       49,       56,     2075, 01/26/20
    2737,       58,       82,     2877, 01/27/20
    5277,      101,      131,     5509, 01/28/20
    5834,      120,      133,     6087, 01/29/20
    7835,      135,      171,     8141, 01/30/20
    9375,      214,      213,     9802, 01/31/20
   11357,      275,      259,    11891, 02/01/20
   15806,      463,      361,    16630, 02/02/20
   18677,      614,      425,    19716, 02/03/20
   22373,      843,      491,    23707, 02/04/20
   25762,     1115,      563,    27440, 02/05/20
   28477,     1477,      633,    30587, 02/06/20
   31393,     1999,      718,    34110, 02/07/20
   33413,     2596,      805,    36814, 02/08/20
   35705,     3219,      905,    39829, 02/09/20
   37424,     3918,     1012,    42354, 02/10/20
   38638,     4636,     1112,    44386, 02/11/20
   38560,     5082,     1117,    44759, 02/12/20
   52309,     6217,     1369,    59895, 02/13/20
   56860,     7977,     1521,    66358, 02/14/20
   57452,     9298,     1663,    68413, 02/15/20
   57992,    10755,     1766,    70513, 02/16/20
   58108,    12462,     1864,    72434, 02/17/20
   58002,    14206,     2003,    74211, 02/18/20
   56541,    15962,     2116,    74619, 02/19/20
   54825,    18014,     2238,    75077, 02/20/20
   54608,    18704,     2238,    75550, 02/21/20
   51859,    22699,     2443,    77001, 02/22/20
   51390,    23187,     2445,    77022, 02/23/20
   49631,    25015,     2595,    77241, 02/24/20
   47413,    27676,     2665,    77754, 02/25/20
   45365,    30084,     2717,    78166, 02/26/20
   42924,    32930,     2746,    78600, 02/27/20
   39809,    36329,     2790,    78928, 02/28/20
   37199,    39320,     2837,    79356, 02/29/20
   34898,    42162,     2872,    79932, 03/01/20
   32368,    44854,     2914,    80136, 03/02/20
   29864,    47450,     2947,    80261, 03/03/20
   27402,    50001,     2983,    80386, 03/04/20
   25230,    52292,     3015,    80537, 03/05/20
   23702,    53944,     3044,    80690, 03/06/20
   22159,    55539,     3072,    80770, 03/07/20
   20335,    57388,     3100,    80823, 03/08/20
   18933,    58804,     3123,    80860, 03/09/20
   17567,    60181,     3139,    80887, 03/10/20
   16116,    61644,     3161,    80921, 03/11/20
   14859,    62901,     3172,    80932, 03/12/20
   13569,    64196,     3180,    80945, 03/13/20
   12124,    65660,     3193,    80977, 03/14/20
   10783,    67017,     3203,    81003, 03/15/20
    9906,    67910,     3217,    81033, 03/16/20
    9030,    68798,     3230,    81058, 03/17/20
    8106,    69755,     3241,    81102, 03/18/20
    7372,    70535,     3249,    81156, 03/19/20
    6731,    71266,     3253,    81250, 03/20/20
    6189,    71857,     3259,    81305, 03/21/20
    5799,    72362,     3274,    81435, 03/22/20
    5410,    72814,     3274,    81498, 03/23/20
    5030,    73280,     3281,    81591, 03/24/20
    4603,    73773,     3285,    81661, 03/25/20
    4310,    74181,     3291,    81782, 03/26/20
    3881,    74720,     3296,    81897, 03/27/20
    3600,    75100,     3299,    81999, 03/28/20
    3236,    75582,     3304,    82122, 03/29/20
    2967,    75923,     3308,    82198, 03/30/20
    2764,    76206,     3309,    82279, 03/31/20
    2640,    76405,     3316,    82361, 04/01/20
    2545,    76565,     3322,    82432, 04/02/20
    2425,    76760,     3326,    82511, 04/03/20
    2267,    76946,     3330,    82543, 04/04/20
    2062,    77207,     3333,    82602, 04/05/20
    2020,    77310,     3335,    82665, 04/06/20
    1973,    77410,     3335,    82718, 04/07/20
    1905,    77567,     3337,    82809, 04/08/20
    1865,    77679,     3339,    82883, 04/09/20
    1810,    77791,     3340,    82941, 04/10/20
    1794,    77877,     3343,    83014, 04/11/20
    1835,    77956,     3343,    83134, 04/12/20
    1829,    78039,     3345,    83213, 04/13/20
    1761,    78200,     3345,    83306, 04/14/20
    1699,    78311,     3346,    83356, 04/15/20
    1656,    78401,     3346,    83403, 04/16/20
    1572,    77552,     4636,    83760, 04/17/20
    1537,    77614,     4636,    83787, 04/18/20
    1479,    77690,     4636,    83805, 04/19/20
    1436,    77745,     4636,    83817, 04/20/20
    1418,    77799,     4636,    83853, 04/21/20
    1371,    77861,     4636,    83868, 04/22/20
    1265,    77983,     4636,    83884, 04/23/20
    1154,    78109,     4636,    83899, 04/24/20
    1098,    78175,     4636,    83909, 04/25/20
     998,    78277,     4637,    83912, 04/26/20
     907,    78374,     4637,    83918, 04/27/20
     881,    78422,     4637,    83940, 04/28/20
     833,    78474,     4637,    83944, 04/29/20
     796,    78523,     4637,    83956, 04/30/20
     749,    78573,     4637,    83959, 05/01/20
     736,    78586,     4637,    83959, 05/02/20
     643,    78684,     4637,    83964, 05/03/20
     537,    78792,     4637,    83966, 05/04/20
     461,    78870,     4637,    83968, 05/05/20
     404,    78929,     4637,    83970, 05/06/20
     361,    78977,     4637,    83975, 05/07/20
     346,    78993,     4637,    83976, 05/08/20
     226,    79127,     4637,    83990, 05/09/20
     206,    79167,     4637,    84010, 05/10/20
     176,    79198,     4637,    84011, 05/11/20
     159,    79222,     4637,    84018, 05/12/20
     141,    79246,     4637,    84024, 05/13/20
     131,    79261,     4637,    84029, 05/14/20
     120,    79281,     4637,    84038, 05/15/20
     113,    79293,     4638,    84044, 05/16/20
     110,    79306,     4638,    84054, 05/17/20
     115,    79310,     4638,    84063, 05/18/20
     115,    79310,     4638,    84063, 05/19/20
     115,    79310,     4638,    84063, 05/20/20
     115,    79310,     4638,    84063, 05/21/20
     111,    79332,     4638,    84081, 05/22/20
     111,    79335,     4638,    84084, 05/23/20
     114,    79343,     4638,    84095, 05/24/20
     112,    79352,     4638,    84102, 05/25/20
     107,    79358,     4638,    84103, 05/26/20
     101,    79367,     4638,    84106, 05/27/20
      97,    79371,     4638,    84106, 05/28/20
     103,    79382,     4638,    84123, 05/29/20
     104,    79386,     4638,    84128, 05/30/20
     119,    79389,     4638,    84146, 05/31/20
     118,    79398,     4638,    84154, 06/01/20
     123,    79400,     4638,    84161, 06/02/20
     118,    79404,     4638,    84160, 06/03/20
     118,    79415,     4638,    84171, 06/04/20
     119,    79420,     4638,    84177, 06/05/20
     124,    79424,     4638,    84186, 06/06/20
     119,    79434,     4638,    84191, 06/07/20
     113,    79444,     4638,    84195, 06/08/20
     109,    79451,     4638,    84198, 06/09/20
     115,    79456,     4638,    84209, 06/10/20
     114,    79464,     4638,    84216, 06/11/20
     118,    79472,     4638,    84228, 06/12/20
     173,    79475,     4638,    84286, 06/13/20
     215,    79482,     4638,    84335, 06/14/20
     251,    79489,     4638,    84378, 06/15/20
     291,    79493,     4638,    84422, 06/16/20
     310,    79510,     4638,    84458, 06/17/20
     341,    79515,     4638,    84494, 06/18/20
     341,    79515,     4638,    84494, 06/19/20
     380,    79534,     4639,    84553, 06/20/20
     398,    79535,     4639,    84572, 06/21/20
     438,    79547,     4639,    84624, 06/22/20
     458,    79555,     4640,    84653, 06/23/20
     471,    79562,     4640,    84673, 06/24/20
     488,    79572,     4641,    84701, 06/25/20
     504,    79580,     4641,    84725, 06/26/20
     511,    79591,     4641,    84743, 06/27/20
     507,    79609,     4641,    84757, 06/28/20
     520,    79619,     4641,    84780, 06/29/20
     512,    79632,     4641,    84785, 06/30/20
     525,    79650,     4641,    84816, 07/01/20
     524,    79665,     4641,    84830, 07/02/20
     517,    79680,     4641,    84838, 07/03/20
     510,    79706,     4641,    84857, 07/04/20
     512,    79718,     4641,    84871, 07/05/20
     523,    79725,     4641,    84889, 07/06/20
     522,    79754,     4641,    84917, 07/07/20
     507,    79802,     4641,    84950, 07/08/20
     549,    79802,     4641,    84992, 07/09/20
     549,    79802,     4641,    84992, 07/10/20
     554,    79876,     4641,    85071, 07/11/20
     569,    79907,     4641,    85117, 07/12/20
     569,    79907,     4641,    85117, 07/13/20
     617,    79967,     4642,    85226, 07/14/20
     597,    80005,     4644,    85246, 07/15/20
     645,    80038,     4644,    85327, 07/16/20
     693,    80064,     4645,    85402, 07/17/20
     680,    80092,     4646,    85418, 07/18/20
     720,    80137,     4646,    85503, 07/19/20
     814,    80162,     4646,    85622, 07/20/20
     856,    80204,     4648,    85708, 07/21/20
    1014,    80244,     4648,    85906, 07/22/20
    1099,    80297,     4649,    86045, 07/23/20
    1211,    80341,     4650,    86202, 07/24/20
    1320,    80409,     4652,    86381, 07/25/20
    1459,    80459,     4652,    86570, 07/26/20
    1661,    80466,     4656,    86783, 07/27/20
    1816,    80517,     4657,    86990, 07/28/20
    1961,    80594,     4658,    87213, 07/29/20
    2150,    80680,     4659,    87489, 07/30/20
    2207,    80787,     4661,    87655, 07/31/20
    2253,    80907,     4667,    87827, 08/01/20
    2298,    81018,     4669,    87985, 08/02/20
    2314,    81113,     4672,    88099, 08/03/20
    2296,    81234,     4676,    88206, 08/04/20
    2234,    81417,     4677,    88328, 08/05/20
    2188,    81592,     4680,    88460, 08/06/20
    2111,    81788,     4681,    88580, 08/07/20
    2022,    81969,     4681,    88672, 08/08/20
    1982,    82125,     4686,    88793, 08/09/20
    1970,    82247,     4689,    88906, 08/10/20
    1825,    82440,     4693,    88958, 08/11/20
    1715,    82633,     4697,    89045, 08/12/20
    1640,    82804,     4700,    89144, 08/13/20
    1557,    82956,     4701,    89214, 08/14/20
    1468,    83108,     4703,    89279, 08/15/20
    1472,    83200,     4703,    89375, 08/16/20
    1455,    83283,     4703,    89441, 08/17/20
    1381,    83408,     4705,    89494, 08/18/20
    1255,    83566,     4706,    89527, 08/19/20
    1195,    83663,     4709,    89567, 08/20/20
    1114,    83793,     4709,    89616, 08/21/20
    1019,    83924,     4711,    89654, 08/22/20
     996,    83988,     4711,    89695, 08/23/20
     949,    84058,     4711,    89718, 08/24/20
     872,    84168,     4712,    89752, 08/25/20
     820,    84251,     4713,    89784, 08/26/20
     764,    84335,     4715,    89814, 08/27/20
     699,    84419,     4718,    89836, 08/28/20
     658,    84484,     4721,    89863, 08/29/20
     627,    84546,     4722,    89895, 08/30/20
     597,    84594,     4723,    89914, 08/31/20
     557,    84652,     4724,    89933, 09/01/20
     531,    84695,     4727,    89953, 09/02/20
     521,    84737,     4728,    89986, 09/03/20
     498,    84782,     4728,    90008, 09/04/20
     460,    84837,     4728,    90025, 09/05/20
     455,    84873,     4730,    90058, 09/06/20
     446,    84900,     4732,    90078, 09/07/20
     422,    84932,     4733,    90087, 09/08/20
     410,    84957,     4733,    90100, 09/09/20
     389,    85005,     4733,    90127, 09/10/20
     387,    85025,     4733,    90145, 09/11/20
     380,    85054,     4734,    90168, 09/12/20
     377,    85086,     4734,    90197, 09/13/20
     383,    85101,     4735,    90219, 09/14/20
     370,    85129,     4736,    90235, 09/15/20
     362,    85155,     4736,    90253, 09/16/20
     377,    85181,     4736,    90294, 09/17/20
     370,    85204,     4737,    90311, 09/18/20
     371,    85226,     4737,    90334, 09/19/20
     393,    85239,     4737,    90369, 09/20/20
     387,    85257,     4737,    90381, 09/21/20
     387,    85275,     4737,    90399, 09/22/20
     367,    85304,     4738,    90409, 09/23/20
     363,    85323,     4738,    90424, 09/24/20
     359,    85343,     4739,    90441, 09/25/20
     357,    85360,     4739,    90456, 09/26/20
     363,    85381,     4739,    90483, 09/27/20
     368,    85398,     4739,    90505, 09/28/20
     366,    85423,     4739,    90528, 09/29/20
     346,    85460,     4739,    90545, 09/30/20
     349,    85479,     4739,    90567, 10/01/20
     351,    85494,     4739,    90584, 10/02/20
     354,    85511,     4739,    90604, 10/03/20
     360,    85530,     4739,    90629, 10/04/20
     373,    85540,     4739,    90652, 10/05/20
     362,    85566,     4739,    90667, 10/06/20
     360,    85588,     4739,    90687, 10/07/20
     377,    85612,     4739,    90728, 10/08/20
     371,    85641,     4739,    90751, 10/09/20
     381,    85658,     4739,    90778, 10/10/20
     404,    85669,     4739,    90812, 10/11/20
     401,    85690,     4739,    90830, 10/12/20
     412,    85707,     4739,    90858, 10/13/20
     410,    85720,     4739,    90869, 10/14/20
     423,    85743,     4739,    90905, 10/15/20
     424,    85762,     4739,    90925, 10/16/20
     425,    85791,     4739,    90955, 10/17/20
     414,    85819,     4739,    90972, 10/18/20
     427,    85840,     4739,    91006, 10/19/20
     410,    85873,     4739,    91022, 10/20/20
     406,    85899,     4739,    91044, 10/21/20
     405,    85929,     4739,    91073, 10/22/20
     419,    85950,     4739,    91108, 10/23/20
     415,    85974,     4739,    91128, 10/24/20
     410,    86002,     4739,    91151, 10/25/20
