Áreas de movilidad;Tipo de dato;Periodo;Total
Total Nacional;Personas;18/11/2019;47.026.208
Abadiño y Atxondo;Personas;18/11/2019;8.965
Abanilla;Personas;18/11/2019;6.127
Abanto y Ciérvana-Abanto Zierbena;Personas;18/11/2019;9.444
Abarán;Personas;18/11/2019;12.964
Abegondo;Personas;18/11/2019;5.406
Abenójar y otros municipios;Personas;18/11/2019;5.036
Abrera;Personas;18/11/2019;12.489
Adamuz y Pedro Abad;Personas;18/11/2019;7.029
Adeje;Personas;18/11/2019;47.869
Ademuz y otros municipios;Personas;18/11/2019;2.266
Adra;Personas;18/11/2019;25.148
Adrada, La y Piedralaves;Personas;18/11/2019;4.541
Agaete;Personas;18/11/2019;5.586
Agoncillo y otros municipios;Personas;18/11/2019;6.433
Agost y Tibi;Personas;18/11/2019;6.372
Agramunt;Personas;18/11/2019;5.371
Aguilar de Campoo y otros municipios;Personas;18/11/2019;7.254
Aguilar de la Frontera;Personas;18/11/2019;13.328
Águilas;Personas;18/11/2019;35.301
Agüimes;Personas;18/11/2019;31.619
Ahigal y otros municipios;Personas;18/11/2019;5.081
Aielo de Malferit y otros municipios;Personas;18/11/2019;8.821
Aiguafreda y otros municipios;Personas;18/11/2019;5.108
Aínsa-Sobrarbe y otros municipios;Personas;18/11/2019;4.992
Aitona y otros municipios;Personas;18/11/2019;4.717
Ajalvir;Personas;18/11/2019;4.712
Alaejos y otros municipios;Personas;18/11/2019;5.826
Alagón y Torres de Berrellén;Personas;18/11/2019;8.609
Alaior;Personas;18/11/2019;9.065
Alameda;Personas;18/11/2019;5.372
Alameda de la Sagra y otros municipios;Personas;18/11/2019;7.698
Álamo, El;Personas;18/11/2019;9.470
Alaquàs;Personas;18/11/2019;29.561
Alaró;Personas;18/11/2019;5.572
Alba de Tormes;Personas;18/11/2019;5.186
Albacete (distrito 01);Personas;18/11/2019;25.498
Albacete (distrito 02);Personas;18/11/2019;39.579
Albacete (distrito 03);Personas;18/11/2019;20.506
Albacete (distrito 04);Personas;18/11/2019;19.920
Albacete (distrito 05);Personas;18/11/2019;16.970
Albacete (distrito 06);Personas;18/11/2019;17.967
Albacete (distrito 07);Personas;18/11/2019;26.607
Albacete (distrito 08) y otros municipios;Personas;18/11/2019;12.205
Albaida y otros municipios;Personas;18/11/2019;8.740
Albal y Beniparrell;Personas;18/11/2019;18.351
Albalat de la Ribera y otros municipios;Personas;18/11/2019;7.591
Albalate del Arzobispo y otros municipios;Personas;18/11/2019;6.307
Albarracín y otros municipios;Personas;18/11/2019;4.403
Albatera y San Isidro;Personas;18/11/2019;14.265
Albelda de Iregua y otros municipios;Personas;18/11/2019;8.520
Alberca, La y otros municipios;Personas;18/11/2019;5.036
Alberic y otros municipios;Personas;18/11/2019;12.775
Albesa y otros municipios;Personas;18/11/2019;4.534
Albolote;Personas;18/11/2019;18.808
Alboraya;Personas;18/11/2019;24.454
Albox;Personas;18/11/2019;11.805
Albuixech y otros municipios;Personas;18/11/2019;10.463
Albuñol;Personas;18/11/2019;7.233
