# date, infected, recovered, dead, cumulative
       0,        0,        0,        0, 01/22/20
       0,        0,        0,        0, 01/23/20
       0,        0,        0,        0, 01/24/20
       0,        0,        0,        0, 01/25/20
       0,        0,        0,        0, 01/26/20
       0,        0,        0,        0, 01/27/20
       0,        0,        0,        0, 01/28/20
       0,        0,        0,        0, 01/29/20
       0,        0,        0,        0, 01/30/20
       2,        0,        0,        2, 01/31/20
       2,        0,        0,        2, 02/01/20
       2,        0,        0,        2, 02/02/20
       2,        0,        0,        2, 02/03/20
       2,        0,        0,        2, 02/04/20
       2,        0,        0,        2, 02/05/20
       2,        0,        0,        2, 02/06/20
       3,        0,        0,        3, 02/07/20
       3,        0,        0,        3, 02/08/20
       3,        0,        0,        3, 02/09/20
       3,        0,        0,        3, 02/10/20
       3,        0,        0,        3, 02/11/20
       3,        0,        0,        3, 02/12/20
       3,        0,        0,        3, 02/13/20
       3,        0,        0,        3, 02/14/20
       3,        0,        0,        3, 02/15/20
       3,        0,        0,        3, 02/16/20
       3,        0,        0,        3, 02/17/20
       3,        0,        0,        3, 02/18/20
       3,        0,        0,        3, 02/19/20
       3,        0,        0,        3, 02/20/20
      19,        0,        1,       20, 02/21/20
      59,        1,        2,       62, 02/22/20
     150,        2,        3,      155, 02/23/20
     221,        1,        7,      229, 02/24/20
     311,        1,       10,      322, 02/25/20
     438,        3,       12,      453, 02/26/20
     593,       45,       17,      655, 02/27/20
     821,       46,       21,      888, 02/28/20
    1053,       46,       29,     1128, 02/29/20
    1577,       83,       34,     1694, 03/01/20
    1835,      149,       52,     2036, 03/02/20
    2263,      160,       79,     2502, 03/03/20
    2706,      276,      107,     3089, 03/04/20
    3296,      414,      148,     3858, 03/05/20
    3916,      523,      197,     4636, 03/06/20
    5061,      589,      233,     5883, 03/07/20
    6387,      622,      366,     7375, 03/08/20
    7985,      724,      463,     9172, 03/09/20
    8794,      724,      631,    10149, 03/10/20
   10590,     1045,      827,    12462, 03/11/20
   13052,     1045,     1016,    15113, 03/12/20
