# date, infected, recovered, dead, cumulative
       0,        0,        0,        0, 01/22/20
       0,        0,        0,        0, 01/23/20
       0,        0,        0,        0, 01/24/20
       0,        0,        0,        0, 01/25/20
       0,        0,        0,        0, 01/26/20
       0,        0,        0,        0, 01/27/20
       0,        0,        0,        0, 01/28/20
       0,        0,        0,        0, 01/29/20
       0,        0,        0,        0, 01/30/20
       0,        0,        0,        0, 01/31/20
       1,        0,        0,        1, 02/01/20
       1,        0,        0,        1, 02/02/20
       1,        0,        0,        1, 02/03/20
       1,        0,        0,        1, 02/04/20
       1,        0,        0,        1, 02/05/20
       1,        0,        0,        1, 02/06/20
       1,        0,        0,        1, 02/07/20
       1,        0,        0,        1, 02/08/20
       2,        0,        0,        2, 02/09/20
       2,        0,        0,        2, 02/10/20
       2,        0,        0,        2, 02/11/20
       2,        0,        0,        2, 02/12/20
       2,        0,        0,        2, 02/13/20
       2,        0,        0,        2, 02/14/20
       0,        2,        0,        2, 02/15/20
       0,        2,        0,        2, 02/16/20
       0,        2,        0,        2, 02/17/20
       0,        2,        0,        2, 02/18/20
       0,        2,        0,        2, 02/19/20
       0,        2,        0,        2, 02/20/20
       0,        2,        0,        2, 02/21/20
       0,        2,        0,        2, 02/22/20
       0,        2,        0,        2, 02/23/20
       0,        2,        0,        2, 02/24/20
       4,        2,        0,        6, 02/25/20
      11,        2,        0,       13, 02/26/20
      13,        2,        0,       15, 02/27/20
      30,        2,        0,       32, 02/28/20
      43,        2,        0,       45, 02/29/20
      82,        2,        0,       84, 03/01/20
     118,        2,        0,      120, 03/02/20
     162,        2,        1,      165, 03/03/20
     218,        2,        2,      222, 03/04/20
     254,        2,        3,      259, 03/05/20
     393,        2,        5,      400, 03/06/20
     460,       30,       10,      500, 03/07/20
     626,       30,       17,      673, 03/08/20
    1013,       32,       28,     1073, 03/09/20
    1628,       32,       35,     1695, 03/10/20
    2040,      183,       54,     2277, 03/11/20
    2039,      183,       55,     2277, 03/12/20
    4906,      193,      133,     5232, 03/13/20
