CELDA_ORIGEN;NOMBRE_CELDA_ORIGEN;CELDA_DESTINO;NOMBRE_CELDA_DESTINO;FLUJO;
001A;Montesinos, Los y Algorfa;023A;Almoradí;85;
001A;Montesinos, Los y Algorfa;058A;Rojales;189;
001A;Montesinos, Los y Algorfa;061A;San Miguel de Salinas;66;
001A;Montesinos, Los y Algorfa;091A;Orihuela (distrito 05);95;
001A;Montesinos, Los y Algorfa;097A;Torrevieja (distrito 01);226;
001A;Montesinos, Los y Algorfa;098A;Torrevieja (distrito 02);191;
001A;Montesinos, Los y Algorfa;099A;Torrevieja (distrito 03);100;
001B;Sant Joan de Vilatorrada y otros municipios;008B;Sant Vicenç de Castellet y otros municipios;49;
001B;Sant Joan de Vilatorrada y otros municipios;019B;Sant Pere de Vilamajor y otros municipios;39;
001B;Sant Joan de Vilatorrada y otros municipios;032B;Taradell y otros municipios;28;
001B;Sant Joan de Vilatorrada y otros municipios;073B;Sant Salvador de Guardiola y Manresa (distrito 06);113;
001B;Sant Joan de Vilatorrada y otros municipios;091B;Navarcles;49;
001B;Sant Joan de Vilatorrada y otros municipios;106B;Sallent;84;
001B;Sant Joan de Vilatorrada y otros municipios;107B;Santpedor;120;
001B;Sant Joan de Vilatorrada y otros municipios;117B;Sant Fruitós de Bages;169;
001B;Sant Joan de Vilatorrada y otros municipios;137B;Súria;50;
001B;Sant Joan de Vilatorrada y otros municipios;253B;Manresa (distrito 02);279;
001B;Sant Joan de Vilatorrada y otros municipios;254B;Manresa (distritos 01 y 03);85;
001B;Sant Joan de Vilatorrada y otros municipios;255B;Manresa (distrito 04);287;
001B;Sant Joan de Vilatorrada y otros municipios;256B;Manresa (distrito 05);235;
001M;Fuentidueña de Tajo y otros municipios;002M;Perales de Tajuña y otros municipios;29;
001M;Fuentidueña de Tajo y otros municipios;04CU;Barajas de Melo y otros municipios;28;
001M;Fuentidueña de Tajo y otros municipios;080M;Villarejo de Salvanés;55;
001M;Fuentidueña de Tajo y otros municipios;096M;Arganda del Rey;45;
001M;Fuentidueña de Tajo y otros municipios;11GU;Mondéjar y otros municipios;53;
001M;Fuentidueña de Tajo y otros municipios;24TO;Santa Cruz de la Zarza y Villatobas;18;
001M;Fuentidueña de Tajo y otros municipios;26CU;Tarancón;39;
001S;Real de la Jara, El y otros municipios;055S;Guillena;44;
001S;Real de la Jara, El y otros municipios;10HU;Santa Olalla del Cala y otros municipios;20;
001S;Real de la Jara, El y otros municipios;12HU;Minas de Riotinto y otros municipios;34;
001S;Real de la Jara, El y otros municipios;22BA;Monesterio y Calera de León;22;
001V;Daimús y otros municipios;002V;Bellreguard y otros municipios;145;
001V;Daimús y otros municipios;003V;Gandia (distritos 01 y 03);191;
001V;Daimús y otros municipios;004V;Vilallonga/Villalonga y Ador;51;
001V;Daimús y otros municipios;006V;Real de Gandía y otros municipios;39;
001V;Daimús y otros municipios;012V;Xeraco y Xeresa;20;
001V;Daimús y otros municipios;037A;Dénia;68;
001V;Daimús y otros municipios;042V;Rótova y otros municipios;24;
001V;Daimús y otros municipios;049V;Oliva y otros municipios;105;
001V;Daimús y otros municipios;075V;Gandia (distrito 06);24;
001V;Daimús y otros municipios;093V;Gandia (distrito 04);235;
001V;Daimús y otros municipios;142V;Gandia (distrito 02);87;
002A;Formentera del Segura y otros municipios;001A;Montesinos, Los y Algorfa;16;
002A;Formentera del Segura y otros municipios;004A;Cox y otros municipios;16;
002A;Formentera del Segura y otros municipios;023A;Almoradí;244;
002A;Formentera del Segura y otros municipios;027A;Benejúzar;16;
002A;Formentera del Segura y otros municipios;031A;Callosa de Segura;16;
002A;Formentera del Segura y otros municipios;034A;Catral;36;
002A;Formentera del Segura y otros municipios;036A;Crevillent;16;
002A;Formentera del Segura y otros municipios;038A;Dolores;42;
002A;Formentera del Segura y otros municipios;041A;Guardamar del Segura;46;
002A;Formentera del Segura y otros municipios;058A;Rojales;572;
002A;Formentera del Segura y otros municipios;059A;San Fulgencio;117;
002A;Formentera del Segura y otros municipios;062A;Santa Pola;16;
002A;Formentera del Segura y otros municipios;065A;Pilar de la Horadada;16;
002A;Formentera del Segura y otros municipios;077A;Elche/Elx (distrito 01);16;
002A;Formentera del Segura y otros municipios;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);88;
002A;Formentera del Segura y otros municipios;090A;Orihuela (distrito 04);16;
002A;Formentera del Segura y otros municipios;091A;Orihuela (distrito 05);44;
002A;Formentera del Segura y otros municipios;097A;Torrevieja (distrito 01);50;
002A;Formentera del Segura y otros municipios;098A;Torrevieja (distrito 02);16;
002A;Formentera del Segura y otros municipios;099A;Torrevieja (distrito 03);16;
002A;Formentera del Segura y otros municipios;116A;Alicante (SCD Number 8-B);16;
002B;Òdena y otros municipios;003B;Torre de Claramunt, La y Pobla de Claramunt, La;91;
002B;Òdena y otros municipios;004B;Capellades y Vallbona d'Anoia;25;
002B;Òdena y otros municipios;009B;Hostalets de Pierola, Els y Bruc, El;17;
002B;Òdena y otros municipios;019B;Sant Pere de Vilamajor y otros municipios;62;
002B;Òdena y otros municipios;074B;Igualada;531;
002B;Òdena y otros municipios;081B;Martorell;32;
002B;Òdena y otros municipios;098B;Piera;26;
002B;Òdena y otros municipios;129B;Santa Margarida de Montbui;99;
002B;Òdena y otros municipios;145B;Vilanova del Camí;123;
002B;Òdena y otros municipios;174B;Barcelona (SCD la Marina i la Zona Franca-Port);23;
002M;Perales de Tajuña y otros municipios;001M;Fuentidueña de Tajo y otros municipios;31;
002M;Perales de Tajuña y otros municipios;003M;Valdilecha y otros municipios;36;
002M;Perales de Tajuña y otros municipios;018M;Chinchón y otros municipios;25;
002M;Perales de Tajuña y otros municipios;058M;Morata de Tajuña;29;
002M;Perales de Tajuña y otros municipios;080M;Villarejo de Salvanés;81;
002M;Perales de Tajuña y otros municipios;096M;Arganda del Rey;213;
002M;Perales de Tajuña y otros municipios;133M;Rivas-Vaciamadrid (sección 029 y otras secciones del distrito 01);29;
002S;Cazalla de la Sierra y Pedroso, El;003S;Guadalcanal y otros municipios;59;
002S;Cazalla de la Sierra y Pedroso, El;005S;Constantina y Navas de la Concepción, Las;89;
002V;Bellreguard y otros municipios;001V;Daimús y otros municipios;144;
002V;Bellreguard y otros municipios;003V;Gandia (distritos 01 y 03);231;
002V;Bellreguard y otros municipios;004V;Vilallonga/Villalonga y Ador;42;
002V;Bellreguard y otros municipios;005V;Font d'En Carròs, la y otros municipios;54;
002V;Bellreguard y otros municipios;006V;Real de Gandía y otros municipios;110;
002V;Bellreguard y otros municipios;037A;Dénia;34;
002V;Bellreguard y otros municipios;049V;Oliva y otros municipios;457;
002V;Bellreguard y otros municipios;051V;Gandia (distrito 07) y Benirredrà;35;
002V;Bellreguard y otros municipios;089V;Gandia (distrito 05);35;
002V;Bellreguard y otros municipios;093V;Gandia (distrito 04);105;
002V;Bellreguard y otros municipios;142V;Gandia (distrito 02);96;
003A;Bigastro y Jacarilla;001A;Montesinos, Los y Algorfa;19;
003A;Bigastro y Jacarilla;002A;Formentera del Segura y otros municipios;19;
003A;Bigastro y Jacarilla;004A;Cox y otros municipios;19;
003A;Bigastro y Jacarilla;021A;Orihuela (distrito 08) y Rafal;271;
003A;Bigastro y Jacarilla;023A;Almoradí;19;
003A;Bigastro y Jacarilla;027A;Benejúzar;96;
003A;Bigastro y Jacarilla;031A;Callosa de Segura;19;
003A;Bigastro y Jacarilla;032A;Campello, el;19;
003A;Bigastro y Jacarilla;036A;Crevillent;19;
003A;Bigastro y Jacarilla;03MU;Abanilla;67;
003A;Bigastro y Jacarilla;057A;Redován;19;
003A;Bigastro y Jacarilla;061A;San Miguel de Salinas;19;
003A;Bigastro y Jacarilla;065A;Pilar de la Horadada;19;
003A;Bigastro y Jacarilla;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);19;
003A;Bigastro y Jacarilla;087A;Orihuela (distrito 01);64;
003A;Bigastro y Jacarilla;088A;Orihuela (distrito 02);43;
