CELDA_ORIGEN;NOMBRE_CELDA_ORIGEN;CELDA_DESTINO;NOMBRE_CELDA_DESTINO;FLUJO;
001A;Montesinos, Los y Algorfa;002A;Formentera del Segura y otros municipios;18;
001A;Montesinos, Los y Algorfa;023A;Almoradí;52;
001A;Montesinos, Los y Algorfa;041A;Guardamar del Segura;18;
001A;Montesinos, Los y Algorfa;058A;Rojales;91;
001A;Montesinos, Los y Algorfa;061A;San Miguel de Salinas;63;
001A;Montesinos, Los y Algorfa;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);18;
001A;Montesinos, Los y Algorfa;091A;Orihuela (distrito 05);18;
001A;Montesinos, Los y Algorfa;097A;Torrevieja (distrito 01);152;
001A;Montesinos, Los y Algorfa;098A;Torrevieja (distrito 02);91;
001A;Montesinos, Los y Algorfa;099A;Torrevieja (distrito 03);18;
001A;Montesinos, Los y Algorfa;30MU;San Javier;18;
001A;Montesinos, Los y Algorfa;48MU;Cartagena (distrito 10);18;
001B;Sant Joan de Vilatorrada y otros municipios;073B;Sant Salvador de Guardiola y Manresa (distrito 06);54;
001B;Sant Joan de Vilatorrada y otros municipios;107B;Santpedor;69;
001B;Sant Joan de Vilatorrada y otros municipios;117B;Sant Fruitós de Bages;64;
001B;Sant Joan de Vilatorrada y otros municipios;253B;Manresa (distrito 02);123;
001B;Sant Joan de Vilatorrada y otros municipios;255B;Manresa (distrito 04);142;
001B;Sant Joan de Vilatorrada y otros municipios;256B;Manresa (distrito 05);43;
001M;Fuentidueña de Tajo y otros municipios;04CU;Barajas de Melo y otros municipios;33;
001M;Fuentidueña de Tajo y otros municipios;080M;Villarejo de Salvanés;26;
001M;Fuentidueña de Tajo y otros municipios;096M;Arganda del Rey;29;
001M;Fuentidueña de Tajo y otros municipios;11GU;Mondéjar y otros municipios;19;
001S;Real de la Jara, El y otros municipios;10HU;Santa Olalla del Cala y otros municipios;33;
001V;Daimús y otros municipios;002V;Bellreguard y otros municipios;53;
001V;Daimús y otros municipios;004V;Vilallonga/Villalonga y Ador;60;
001V;Daimús y otros municipios;037A;Dénia;40;
001V;Daimús y otros municipios;049V;Oliva y otros municipios;51;
001V;Daimús y otros municipios;093V;Gandia (distrito 04);96;
002A;Formentera del Segura y otros municipios;023A;Almoradí;164;
002A;Formentera del Segura y otros municipios;058A;Rojales;452;
002A;Formentera del Segura y otros municipios;059A;San Fulgencio;64;
002A;Formentera del Segura y otros municipios;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);49;
002B;Òdena y otros municipios;074B;Igualada;249;
002B;Òdena y otros municipios;129B;Santa Margarida de Montbui;53;
002B;Òdena y otros municipios;145B;Vilanova del Camí;38;
002M;Perales de Tajuña y otros municipios;003M;Valdilecha y otros municipios;33;
002M;Perales de Tajuña y otros municipios;080M;Villarejo de Salvanés;43;
002M;Perales de Tajuña y otros municipios;096M;Arganda del Rey;174;
002S;Cazalla de la Sierra y Pedroso, El;003S;Guadalcanal y otros municipios;55;
002S;Cazalla de la Sierra y Pedroso, El;005S;Constantina y Navas de la Concepción, Las;87;
002V;Bellreguard y otros municipios;001V;Daimús y otros municipios;64;
002V;Bellreguard y otros municipios;003V;Gandia (distritos 01 y 03);54;
002V;Bellreguard y otros municipios;004V;Vilallonga/Villalonga y Ador;21;
002V;Bellreguard y otros municipios;005V;Font d'En Carròs, la y otros municipios;51;
002V;Bellreguard y otros municipios;006V;Real de Gandía y otros municipios;59;
002V;Bellreguard y otros municipios;012V;Xeraco y Xeresa;21;
002V;Bellreguard y otros municipios;025V;Villar del Arzobispo y otros municipios;21;
002V;Bellreguard y otros municipios;037A;Dénia;21;
002V;Bellreguard y otros municipios;042V;Rótova y otros municipios;21;
002V;Bellreguard y otros municipios;049V;Oliva y otros municipios;183;
002V;Bellreguard y otros municipios;089V;Gandia (distrito 05);21;
002V;Bellreguard y otros municipios;093V;Gandia (distrito 04);21;
002V;Bellreguard y otros municipios;142V;Gandia (distrito 02);21;
003A;Bigastro y Jacarilla;021A;Orihuela (distrito 08) y Rafal;178;
003A;Bigastro y Jacarilla;03MU;Abanilla;84;
003A;Bigastro y Jacarilla;092A;Orihuela (distrito 06);226;
003B;Torre de Claramunt, La y Pobla de Claramunt, La;004B;Capellades y Vallbona d'Anoia;64;
003M;Valdilecha y otros municipios;002M;Perales de Tajuña y otros municipios;40;
003M;Valdilecha y otros municipios;004M;Anchuelo y otros municipios;73;
003M;Valdilecha y otros municipios;050M;Loeches;38;
003M;Valdilecha y otros municipios;060M;Nuevo Baztán;167;
003M;Valdilecha y otros municipios;096M;Arganda del Rey;125;
003S;Guadalcanal y otros municipios;002S;Cazalla de la Sierra y Pedroso, El;18;
003S;Guadalcanal y otros municipios;005S;Constantina y Navas de la Concepción, Las;18;
003S;Guadalcanal y otros municipios;23BA;Montemolín y otros municipios;18;
003S;Guadalcanal y otros municipios;24BA;Azuaga y otros municipios;18;
003V;Gandia (distritos 01 y 03);002V;Bellreguard y otros municipios;36;
003V;Gandia (distritos 01 y 03);006V;Real de Gandía y otros municipios;57;
003V;Gandia (distritos 01 y 03);049V;Oliva y otros municipios;31;
003V;Gandia (distritos 01 y 03);051V;Gandia (distrito 07) y Benirredrà;34;
003V;Gandia (distritos 01 y 03);075V;Gandia (distrito 06);53;
003V;Gandia (distritos 01 y 03);093V;Gandia (distrito 04);48;
003V;Gandia (distritos 01 y 03);142V;Gandia (distrito 02);234;
004A;Cox y otros municipios;005A;Albatera y San Isidro;200;
004A;Cox y otros municipios;021A;Orihuela (distrito 08) y Rafal;52;
004A;Cox y otros municipios;031A;Callosa de Segura;184;
004A;Cox y otros municipios;057A;Redován;51;
004A;Cox y otros municipios;093A;Orihuela (distrito 07);141;
004B;Capellades y Vallbona d'Anoia;003B;Torre de Claramunt, La y Pobla de Claramunt, La;79;
004B;Capellades y Vallbona d'Anoia;098B;Piera;94;
004M;Anchuelo y otros municipios;003M;Valdilecha y otros municipios;72;
004M;Anchuelo y otros municipios;050M;Loeches;22;
004M;Anchuelo y otros municipios;060M;Nuevo Baztán;42;
004M;Anchuelo y otros municipios;073M;Torres de la Alameda;21;
004M;Anchuelo y otros municipios;077M;Villalbilla;79;
004M;Anchuelo y otros municipios;084M;Alcalá de Henares (distrito 02);20;
004M;Anchuelo y otros municipios;085M;Alcalá de Henares (distrito 03);29;
004M;Anchuelo y otros municipios;086M;Alcalá de Henares (distrito 04);19;
004M;Anchuelo y otros municipios;087M;Alcalá de Henares (distrito 05) y Santos de la Humosa, Los;20;
004M;Anchuelo y otros municipios;10GU;Pioz y Pozo de Guadalajara;26;
004S;Peñaflor y Puebla de los Infantes, La;006S;Lora del Río y Alcolea del Río;68;
004S;Peñaflor y Puebla de los Infantes, La;15CO;Posadas y Hornachuelos;56;
004S;Peñaflor y Puebla de los Infantes, La;61CO;Palma del Río;186;
004V;Vilallonga/Villalonga y Ador;001V;Daimús y otros municipios;62;
004V;Vilallonga/Villalonga y Ador;005V;Font d'En Carròs, la y otros municipios;52;
004V;Vilallonga/Villalonga y Ador;006V;Real de Gandía y otros municipios;110;
004V;Vilallonga/Villalonga y Ador;049V;Oliva y otros municipios;78;
004V;Vilallonga/Villalonga y Ador;093V;Gandia (distrito 04);24;
005A;Albatera y San Isidro;004A;Cox y otros municipios;235;
005A;Albatera y San Isidro;023A;Almoradí;41;
005A;Albatera y San Isidro;031A;Callosa de Segura;58;
005A;Albatera y San Isidro;034A;Catral;52;
005A;Albatera y San Isidro;036A;Crevillent;123;
005A;Albatera y San Isidro;057A;Redován;101;
005A;Albatera y San Isidro;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);62;
005A;Albatera y San Isidro;093A;Orihuela (distrito 07);86;
005B;Mediona y otros municipios;023B;Sant Pere de Riudebitlles y otros municipios;71;
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;007M;Buitrago del Lozoya y otros municipios;133;
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;019M;Cabrera, La y otros municipios;41;
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;06GU;Humanes y otros municipios;31;
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;16GU;Casar, El y Uceda;38;
005S;Constantina y Navas de la Concepción, Las;002S;Cazalla de la Sierra y Pedroso, El;66;
005S;Constantina y Navas de la Concepción, Las;003S;Guadalcanal y otros municipios;53;
005V;Font d'En Carròs, la y otros municipios;002V;Bellreguard y otros municipios;56;
005V;Font d'En Carròs, la y otros municipios;004V;Vilallonga/Villalonga y Ador;88;
005V;Font d'En Carròs, la y otros municipios;006V;Real de Gandía y otros municipios;180;
005V;Font d'En Carròs, la y otros municipios;049V;Oliva y otros municipios;49;
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;025A;Aspe;60;
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;03MU;Abanilla;74;
006B;Subirats y Olesa de Bonesvalls;012B;Gelida y Castellví de Rosanes;35;
006B;Subirats y Olesa de Bonesvalls;014B;Canyelles y Olivella;31;
006B;Subirats y Olesa de Bonesvalls;020B;Granada, La y otros municipios;53;
006B;Subirats y Olesa de Bonesvalls;023B;Sant Pere de Riudebitlles y otros municipios;31;
006B;Subirats y Olesa de Bonesvalls;126B;Sant Sadurní d'Anoia;103;
006B;Subirats y Olesa de Bonesvalls;146B;Vilafranca del Penedès;31;
006S;Lora del Río y Alcolea del Río;004S;Peñaflor y Puebla de los Infantes, La;43;
006S;Lora del Río y Alcolea del Río;037S;Campana, La;159;
006S;Lora del Río y Alcolea del Río;039S;Carmona;184;
006S;Lora del Río y Alcolea del Río;119S;Villanueva del Río y Minas;39;
006S;Lora del Río y Alcolea del Río;61CO;Palma del Río;48;
006V;Real de Gandía y otros municipios;003V;Gandia (distritos 01 y 03);94;
006V;Real de Gandía y otros municipios;004V;Vilallonga/Villalonga y Ador;124;
006V;Real de Gandía y otros municipios;005V;Font d'En Carròs, la y otros municipios;142;
006V;Real de Gandía y otros municipios;049V;Oliva y otros municipios;49;
006V;Real de Gandía y otros municipios;051V;Gandia (distrito 07) y Benirredrà;90;
006V;Real de Gandía y otros municipios;075V;Gandia (distrito 06);40;
007A;Sax y Salinas;008A;Elda (distritos 02 y 03);53;
007A;Sax y Salinas;054A;Petrer;49;
007A;Sax y Salinas;064A;Villena;72;
007B;Castellbell i el Vilar y otros municipios;008B;Sant Vicenç de Castellet y otros municipios;94;
007B;Castellbell i el Vilar y otros municipios;142B;Vacarisses;115;
007M;Buitrago del Lozoya y otros municipios;005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;155;
007M;Buitrago del Lozoya y otros municipios;019M;Cabrera, La y otros municipios;23;
007S;Luisiana, La y Cañada Rosal;049S;Écija;356;
