CELDA_ORIGEN;NOMBRE_CELDA_ORIGEN;CELDA_DESTINO;NOMBRE_CELDA_DESTINO;FLUJO;
001A;Montesinos, Los y Algorfa;002A;Formentera del Segura y otros municipios;57;
001A;Montesinos, Los y Algorfa;003A;Bigastro y Jacarilla;18;
001A;Montesinos, Los y Algorfa;023A;Almoradí;98;
001A;Montesinos, Los y Algorfa;036A;Crevillent;18;
001A;Montesinos, Los y Algorfa;041A;Guardamar del Segura;18;
001A;Montesinos, Los y Algorfa;058A;Rojales;161;
001A;Montesinos, Los y Algorfa;061A;San Miguel de Salinas;81;
001A;Montesinos, Los y Algorfa;078A;Elche/Elx (distrito 02);18;
001A;Montesinos, Los y Algorfa;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);18;
001A;Montesinos, Los y Algorfa;091A;Orihuela (distrito 05);119;
001A;Montesinos, Los y Algorfa;097A;Torrevieja (distrito 01);261;
001A;Montesinos, Los y Algorfa;098A;Torrevieja (distrito 02);243;
001A;Montesinos, Los y Algorfa;099A;Torrevieja (distrito 03);73;
001A;Montesinos, Los y Algorfa;116A;Alicante (SCD Number 8-B);18;
001B;Sant Joan de Vilatorrada y otros municipios;019B;Sant Pere de Vilamajor y otros municipios;33;
001B;Sant Joan de Vilatorrada y otros municipios;032B;Taradell y otros municipios;36;
001B;Sant Joan de Vilatorrada y otros municipios;073B;Sant Salvador de Guardiola y Manresa (distrito 06);104;
001B;Sant Joan de Vilatorrada y otros municipios;106B;Sallent;40;
001B;Sant Joan de Vilatorrada y otros municipios;107B;Santpedor;103;
001B;Sant Joan de Vilatorrada y otros municipios;117B;Sant Fruitós de Bages;145;
001B;Sant Joan de Vilatorrada y otros municipios;137B;Súria;78;
001B;Sant Joan de Vilatorrada y otros municipios;253B;Manresa (distrito 02);185;
001B;Sant Joan de Vilatorrada y otros municipios;254B;Manresa (distritos 01 y 03);68;
001B;Sant Joan de Vilatorrada y otros municipios;255B;Manresa (distrito 04);245;
001B;Sant Joan de Vilatorrada y otros municipios;256B;Manresa (distrito 05);262;
001M;Fuentidueña de Tajo y otros municipios;04CU;Barajas de Melo y otros municipios;32;
001M;Fuentidueña de Tajo y otros municipios;080M;Villarejo de Salvanés;31;
001M;Fuentidueña de Tajo y otros municipios;096M;Arganda del Rey;51;
001M;Fuentidueña de Tajo y otros municipios;11GU;Mondéjar y otros municipios;19;
001M;Fuentidueña de Tajo y otros municipios;24TO;Santa Cruz de la Zarza y Villatobas;19;
001S;Real de la Jara, El y otros municipios;055S;Guillena;71;
001S;Real de la Jara, El y otros municipios;10HU;Santa Olalla del Cala y otros municipios;43;
001S;Real de la Jara, El y otros municipios;12HU;Minas de Riotinto y otros municipios;28;
001S;Real de la Jara, El y otros municipios;13HU;Nerva y Granada de Río-Tinto, La;24;
001V;Daimús y otros municipios;002V;Bellreguard y otros municipios;204;
001V;Daimús y otros municipios;003V;Gandia (distritos 01 y 03);159;
001V;Daimús y otros municipios;004V;Vilallonga/Villalonga y Ador;60;
001V;Daimús y otros municipios;006V;Real de Gandía y otros municipios;33;
001V;Daimús y otros municipios;012V;Xeraco y Xeresa;30;
001V;Daimús y otros municipios;037A;Dénia;49;
001V;Daimús y otros municipios;049V;Oliva y otros municipios;131;
001V;Daimús y otros municipios;093V;Gandia (distrito 04);156;
001V;Daimús y otros municipios;142V;Gandia (distrito 02);75;
002A;Formentera del Segura y otros municipios;001A;Montesinos, Los y Algorfa;50;
002A;Formentera del Segura y otros municipios;003A;Bigastro y Jacarilla;16;
002A;Formentera del Segura y otros municipios;005A;Albatera y San Isidro;16;
002A;Formentera del Segura y otros municipios;021A;Orihuela (distrito 08) y Rafal;16;
002A;Formentera del Segura y otros municipios;023A;Almoradí;203;
002A;Formentera del Segura y otros municipios;027A;Benejúzar;16;
002A;Formentera del Segura y otros municipios;031A;Callosa de Segura;16;
002A;Formentera del Segura y otros municipios;034A;Catral;16;
002A;Formentera del Segura y otros municipios;036A;Crevillent;16;
002A;Formentera del Segura y otros municipios;038A;Dolores;16;
002A;Formentera del Segura y otros municipios;041A;Guardamar del Segura;81;
002A;Formentera del Segura y otros municipios;058A;Rojales;572;
002A;Formentera del Segura y otros municipios;059A;San Fulgencio;92;
002A;Formentera del Segura y otros municipios;062A;Santa Pola;16;
002A;Formentera del Segura y otros municipios;078A;Elche/Elx (distrito 02);16;
002A;Formentera del Segura y otros municipios;079A;Elche/Elx (distrito 03);16;
002A;Formentera del Segura y otros municipios;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);52;
002A;Formentera del Segura y otros municipios;091A;Orihuela (distrito 05);16;
002A;Formentera del Segura y otros municipios;097A;Torrevieja (distrito 01);47;
002A;Formentera del Segura y otros municipios;098A;Torrevieja (distrito 02);16;
002A;Formentera del Segura y otros municipios;099A;Torrevieja (distrito 03);16;
002A;Formentera del Segura y otros municipios;116A;Alicante (SCD Number 8-B);16;
002B;Òdena y otros municipios;003B;Torre de Claramunt, La y Pobla de Claramunt, La;73;
002B;Òdena y otros municipios;004B;Capellades y Vallbona d'Anoia;23;
