Namespace(I0=20, N=10000, R0=0, beta=0.5, data='italy_i.csv', day_max=58, day_min=33, delta=0.2, k_inf=1, k_rec=1, llavor=1, nseed=1, seed0=1)
         1198205 function calls (1185443 primitive calls) in 3.472 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
       25    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(all)
      240    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(amax)
      236    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(amin)
      315    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(any)
       64    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(around)
       36    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_3d)
       96    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(broadcast_arrays)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_to)
       32    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(clip)
      100    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(column_stack)
      142    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
        5    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        5    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(count_nonzero)
       53    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(cumsum)
       32    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diff)
      471    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(dot)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(full_like)
       32    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(hstack)
        6    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(inv)
       30    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(linspace)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(mean)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(median)
       11    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(moveaxis)
       96    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       32    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(partition)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(percentile)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(prod)
       32    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ptp)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
